numero;genero;perfume;marca;confianza;nota
82;mujer;Narcisse;Chloé;alta;
83;mujer;Acqua di Giò;Giorgio Armani;alta;
84;hombre;Black XS;Paco Rabanne;alta;
85;unisex;CK Be;Calvin Klein;alta;
86;mujer;Classique;Jean Paul Gaultier;alta;
87;hombre;Acqua di Giò;Giorgio Armani;alta;
88;hombre;A*Men (Angel Men);Thierry Mugler;alta;
89;mujer;Noa;Cacharel;alta;
90;hombre;Armani Mania;Giorgio Armani;alta;
91;hombre;Hugo;Hugo Boss;alta;
92;hombre;Polo Blue;Ralph Lauren;alta;
93;mujer;Ultraviolet;Paco Rabanne;alta;
94;mujer;Emporio Armani She;Giorgio Armani;media;
95;mujer;Chance;Chanel;alta;
96;mujer;J'adore;Christian Dior;alta;
97;hombre;Insensé;Givenchy;alta;
98;mujer;Romance;Ralph Lauren;alta;
99;mujer;Very Irresistible;Givenchy;alta;
100;mujer;Amor Amor;Cacharel;alta;
101;hombre;Kenzo Air;Kenzo;alta;
102;hombre;CH Men;Carolina Herrera;alta;
103;mujer;Hugo Woman;Hugo Boss;alta;
104;mujer;Chic;Carolina Herrera;alta;
105;hombre;Blue Label;Givenchy;alta;
106;mujer;Sensi;Giorgio Armani;alta;
107;hombre;Echo;Davidoff;alta;
108;mujer;Blue;Ralph Lauren;alta;
109;mujer;Polo Sport Woman;Ralph Lauren;alta;
110;hombre;Tommy;Tommy Hilfiger;alta;
111;mujer;Dolce Vita;Christian Dior;alta;
112;mujer;Poème;Lancôme;alta;
113;mujer;Sunflowers;Elizabeth Arden;alta;
114;mujer;Echo Woman;Davidoff;alta;
115;mujer;Armani Mania;Giorgio Armani;alta;
116;mujer;Pure Poison;Christian Dior;alta;
117;mujer;212 Sexy;Carolina Herrera;alta;
118;mujer;Glow;Jennifer Lopez;alta;
119;mujer;Dolce & Gabbana (Femme);Dolce & Gabbana;alta;
120;mujer;Hot Couture;Givenchy;alta;
121;hombre;L'Eau par Kenzo pour Homme;Kenzo;alta;
122;hombre;Polo Black;Ralph Lauren;alta;
123;hombre;Very Irresistible for Men;Givenchy;alta;
124;mujer;CH;Carolina Herrera;alta;
125;mujer;Amour;Kenzo;alta;
126;hombre;212 Sexy Men;Carolina Herrera;alta;
127;hombre;Tokyo;Kenzo;alta;
128;mujer;CK IN2U Her;Calvin Klein;alta;
129;hombre;CK IN2U Him;Calvin Klein;alta;
130;mujer;Ange ou Démon;Givenchy;alta;
131;hombre;Hypnôse Homme;Lancôme;alta;
132;mujer;Nina;Nina Ricci;alta;
133;mujer;Heiress;Paris Hilton;alta;
134;hombre;Polo Explorer;Ralph Lauren;alta;
135;mujer;Magnifique;Lancôme;alta;
136;mujer;Miss Dior Chérie;Christian Dior;alta;
137;hombre;One Million;Paco Rabanne;alta;
138;mujer;BLV;Bvlgari;alta;
139;mujer;DKNY (Be Delicious);Donna Karan;alta;
140;mujer;Miracle;Lancôme;alta;
141;hombre;Miracle Homme;Lancôme;alta;
142;mujer;Ricci Ricci;Nina Ricci;alta;
143;mujer;Lady Million;Paco Rabanne;alta;
144;mujer;212 VIP;Carolina Herrera;alta;
145;hombre;Play;Givenchy;alta;
146;mujer;Play for Her;Givenchy;media;
147;hombre;212 VIP Men;Carolina Herrera;alta;
148;mujer;The One;Dolce & Gabbana;alta;
149;mujer;Omnia Amethyste;Bvlgari;alta;
151;mujer;Guilty;Gucci;media;
153;mujer;Ralph;Ralph Lauren;media;
154;mujer;Acqua di Gioia;Giorgio Armani;media;
155;mujer;Flower Tag;Kenzo;media;
157;mujer;Coco Mademoiselle;Chanel;media;
159;mujer;Madly;Kenzo;media;
161;mujer;La Vie est Belle;Lancôme;media;
163;mujer;Cherry in the Air;Escada;media;
165;mujer;CH L'Eau;Carolina Herrera;media;
166;mujer;Flower in the Air;Kenzo;media;
170;mujer;Halloween Fleur;Jesús del Pozo;media;
171;mujer;CH Sublime;Carolina Herrera;media;
173;mujer;212 VIP Rosé;Carolina Herrera;alta;
175;mujer;Radiance;Britney Spears;media;
176;mujer;Black XS L'Excès for Her;Paco Rabanne;media;
179;mujer;La Tentation de Nina;Nina Ricci;media;
180;mujer;Insolence;Guerlain;media;
181;mujer;Eau my Gold!;Paco Rabanne;media;
185;mujer;Light Blue;Dolce & Gabbana;media;
186;mujer;Olympéa;Paco Rabanne;media;
198;mujer;Poison Girl;Christian Dior;media;
201;mujer;Good Girl;Carolina Herrera;alta;
204;mujer;Bombshell;Victoria's Secret;media;
206;mujer;La Vie est Belle Florale;Lancôme;media;
207;mujer;Olympéa Aqua;Paco Rabanne;media;
209;mujer;Love Rock;Shakira;media;
216;mujer;Black Opium;Yves Saint Laurent;media;
234;hombre;212 VIP Black Men;Carolina Herrera;media;
260;mujer;Light Blue Dreaming in Portofino;Dolce & Gabbana;media;
274;mujer;Fairy Love;Escada;media;
282;mujer;Olympéa Solar;Paco Rabanne;media;
283;mujer;Celebrity;Paco Rabanne;revisar;conflicto: una fuente dice Fame (ver N°312)
286;hombre;212 Men Heroes;Carolina Herrera;media;
292;hombre;Bad Boy;Carolina Herrera;media;
296;hombre;Bad Boy Cobalt;Carolina Herrera;media;
303;mujer;Miss Dior Blooming Bouquet;Christian Dior;media;
309;mujer;Good Girl Blush;Carolina Herrera;media;
312;mujer;Fame;Paco Rabanne;media;
313;mujer;Gaultier Divine;Jean Paul Gaultier;media;
320;mujer;Butterfly (La Bomba);Carolina Herrera;media;
322;hombre;Acqua di Giò Profondo;Giorgio Armani;media;
